denoiser,realization,scale,mse
wqn,0,0,1.2082067397816222e-22
wt_ihard,0,0,1.2082067397816222e-22
wt_isoft,0,0,1.2082067397816222e-22
wt_usoft,0,0,1.2082067397816222e-22
wqn,0,1,0.08100653016724133
wt_ihard,0,1,0.052526999297483314
wt_isoft,0,1,0.05260744873516316
wt_usoft,0,1,0.5652166606699476
wqn,0,2,0.08294919278220668
wt_ihard,0,2,0.05277084981566076
wt_isoft,0,2,0.05324359177823104
wt_usoft,0,2,0.7235491355221588
wqn,0,3,0.09186316788844377
wt_ihard,0,3,0.052802039114086645
wt_isoft,0,3,0.0532094172647927
wt_usoft,0,3,0.7700426900163172
wqn,0,4,0.09233181237762456
wt_ihard,0,4,0.052874732208373305
wt_isoft,0,4,0.053236778705746675
wt_usoft,0,4,0.8045404945189685
wqn,0,5,0.09261993658450296
wt_ihard,0,5,0.052954629944045595
wt_isoft,0,5,0.05329520228965232
wt_usoft,0,5,0.826676075046839
wqn,0,6,0.09198277585278182
wt_ihard,0,6,0.05304685840727903
wt_isoft,0,6,0.05337725652933615
wt_usoft,0,6,0.8497443260942124
wqn,0,7,0.09452860822795756
wt_ihard,0,7,0.05316995217247389
wt_isoft,0,7,0.053503627981421276
wt_usoft,0,7,0.852222754689319
wqn,0,8,0.09480959848776059
wt_ihard,0,8,0.05324510586460411
wt_isoft,0,8,0.053573481713056446
wt_usoft,0,8,0.8544221219690955
wqn,0,9,0.09590651748159151
wt_ihard,0,9,0.05342786467306649
wt_isoft,0,9,0.05372951708157838
wt_usoft,0,9,0.8567293434811811
wqn,0,10,0.09584428207155274
wt_ihard,0,10,0.05363600346386234
wt_isoft,0,10,0.0539071637825472
wt_usoft,0,10,0.8589225102995942
wqn,0,11,0.09581513693934558
wt_ihard,0,11,0.08572617221450829
wt_isoft,0,11,0.058459489482288324
wt_usoft,0,11,0.8609779297624559
wqn,0,12,0.09587415449932177
wt_ihard,0,12,0.08585320857360529
wt_isoft,0,12,0.058793917861950595
wt_usoft,0,12,0.8624593069378652
wqn,0,13,0.09557587997383324
wt_ihard,0,13,0.08602627722951324
wt_isoft,0,13,0.05916399766846954
wt_usoft,0,13,0.8640857642154234
wqn,0,14,0.0952218235540039
wt_ihard,0,14,0.08623339981007982
wt_isoft,0,14,0.05956776754094112
wt_usoft,0,14,0.8653439431970203
wqn,0,15,0.09518955176054643
wt_ihard,0,15,0.08647951414606145
wt_isoft,0,15,0.06001798717116081
wt_usoft,0,15,0.8660178290965501
wqn,0,16,0.09526159102439993
wt_ihard,0,16,0.08674723917880447
wt_isoft,0,16,0.060418641324180955
wt_usoft,0,16,0.8667435197881932
wqn,0,17,0.09640408267233426
wt_ihard,0,17,0.08705748279691698
wt_isoft,0,17,0.06093670044824784
wt_usoft,0,17,0.8675255929286004
wqn,0,18,0.09642436397919077
wt_ihard,0,18,0.08740547105982786
wt_isoft,0,18,0.06148932907181847
wt_usoft,0,18,0.8683436017940859
wqn,0,19,0.09764756638563296
wt_ihard,0,19,0.08777819454678934
wt_isoft,0,19,0.06207470547346277
wt_usoft,0,19,0.8691388339531985
wqn,0,20,0.09805285483826864
wt_ihard,0,20,0.08819202145049339
wt_isoft,0,20,0.06269316181369439
wt_usoft,0,20,0.8713757960486848
wqn,1,0,1.341032719697795e-22
wt_ihard,1,0,1.341032719697795e-22
wt_isoft,1,0,1.341032719697795e-22
wt_usoft,1,0,1.341032719697795e-22
wqn,1,1,0.06199196905099613
wt_ihard,1,1,0.050892752187235255
wt_isoft,1,1,0.04854948265298101
wt_usoft,1,1,0.5575762295218236
wqn,1,2,0.07574472201150687
wt_ihard,1,2,0.051312834248066375
wt_isoft,1,2,0.04947427355153319
wt_usoft,1,2,0.683149301610448
wqn,1,3,0.07827827950101704
wt_ihard,1,3,0.051414546825185224
wt_isoft,1,3,0.0498787801084057
wt_usoft,1,3,0.712940793141686
wqn,1,4,0.08587533371576508
wt_ihard,1,4,0.05166569178867818
wt_isoft,1,4,0.05020984289877412
wt_usoft,1,4,0.7357476956880922
wqn,1,5,0.08758148771884701
wt_ihard,1,5,0.05187951352494547
wt_isoft,1,5,0.050577163633839003
wt_usoft,1,5,0.743990380248112
wqn,1,6,0.0897168605223996
wt_ihard,1,6,0.06210467523264702
wt_isoft,1,6,0.05042402894648368
wt_usoft,1,6,0.7495461970476092
wqn,1,7,0.08996045510563423
wt_ihard,1,7,0.0794000220105586
wt_isoft,1,7,0.059827925484385217
wt_usoft,1,7,0.7544426237467368
wqn,1,8,0.09041027898905693
wt_ihard,1,8,0.07968240679866168
wt_isoft,1,8,0.06018427163270065
wt_usoft,1,8,0.7580197946048259
wqn,1,9,0.09216901392731121
wt_ihard,1,9,0.07914659512830022
wt_isoft,1,9,0.06290806228427048
wt_usoft,1,9,0.761116487320004
wqn,1,10,0.09247515578342053
wt_ihard,1,10,0.0794414460631923
wt_isoft,1,10,0.0632906621979508
wt_usoft,1,10,0.7629152382857507
wqn,1,11,0.09794837715605742
wt_ihard,1,11,0.07982514435707463
wt_isoft,1,11,0.06372739238866691
wt_usoft,1,11,0.764664092869292
wqn,1,12,0.0975227747697221
wt_ihard,1,12,0.08020208808624826
wt_isoft,1,12,0.06420886489896258
wt_usoft,1,12,0.766350404575677
wqn,1,13,0.2677501358381015
wt_ihard,1,13,0.0806814943346234
wt_isoft,1,13,0.06473859727915204
wt_usoft,1,13,0.7679937527089724
wqn,1,14,0.2678679899079564
wt_ihard,1,14,0.0812069621529337
wt_isoft,1,14,0.06533146363628803
wt_usoft,1,14,0.7696178677591681
wqn,1,15,0.2679961485786706
wt_ihard,1,15,0.08178315693014407
wt_isoft,1,15,0.06597565655899001
wt_usoft,1,15,0.7713404296009185
wqn,1,16,0.3001546772984892
wt_ihard,1,16,0.08243168720036075
wt_isoft,1,16,0.06667642391188472
wt_usoft,1,16,0.7731550232928812
wqn,1,17,0.3018360542705339
wt_ihard,1,17,0.08314175947406369
wt_isoft,1,17,0.06743684297190315
wt_usoft,1,17,0.7749617182796045
wqn,1,18,0.3019065188351053
wt_ihard,1,18,0.08390172926011685
wt_isoft,1,18,0.06825737145949298
