,artifact,denoiser,realization,scale,mse,wasserstein,num_w_scales,hurst
0,square,wqn,0,2,0.21467624543925423,"[0.8500261961720696, 1.0992672859169574, 2.637297103276733, 0.48080358842540105, 0.08688154705105519, 0.03691581665549443, 0.009776531312877895, 0.006006069279350332, 0.0010017402370614459, 0.00036796412179710206]",9,0.4792504593763145
1,square,wt_ihard,0,2,0.11832299689715073,"[1.1033791904136137, 1.264472528552008, 4.091328536833956, 1.4576587968397148, 0.783927940939679, 0.3392709911632815, 0.12444620268114247, 0.05475533408160724, 0.021999293908168124, 0.00618096602533705]",9,0.17838264215599764
2,square,wt_isoft,0,2,0.11746974821732162,"[1.1033791904136137, 1.264472528552008, 3.61190953658041, 1.4508456145954642, 0.5561891275895051, 0.2161438534911564, 0.06838627116952725, 0.025599248864472582, 0.008692945523940659, 0.0025203919542770726]",9,0.27361295834848687
3,square,wt_uni,0,2,1.9447304384935258,"[1.1033791904136137, 1.264472528552008, 12.20095270240511, 6.205905415420627, 2.332642255332663, 0.7971100323946085, 0.20697920046588947, 0.05768962511043424, 0.015448740080086287, 0.004210484695327905]",9,0.599573031664437
4,square,wt_sure,0,2,0.11675234560251439,"[1.1033791904136137, 1.264472528552008, 4.091328536833956, 1.4576587968397148, 0.7860450045737076, 0.2007707547320749, 0.06582156264408637, 0.024528411313868334, 0.007722965103083157, 0.002358101835743235]",9,0.2209562945455601
5,square,wt_zero,0,2,0.18615001976359313,"[1.1033791904136137, 4.92869810777716, 4.091328536833956, 1.4576587968397148, 0.7860450045737076, 0.3481258840385051, 0.14995610649489494, 0.0789484684936514, 0.04161317258272847, 0.024978466774562037]",9,1.698473321297464
6,sawtooth,wqn,0,2,0.20814999685336963,"[0.4369168303991753, 0.7022502954977318, 1.6429620910991771, 0.5993129468541709, 0.15257644474755166, 0.04178479215409926, 0.019131548645400127, 0.008548798528719686, 0.0027973727627593134, 0.0005275323709805986]",9,0.5124445985615713
7,sawtooth,wt_ihard,0,2,0.14768009845855296,"[0.5754371366451306, 1.6488751188893627, 4.091328536833956, 1.4576587968397148, 0.7822514228938907, 0.28201282585351095, 0.09474630263788492, 0.04604244200174801, 0.014311873736028753, 0.004591987408164865]",9,0.22351880017746895
8,sawtooth,wt_isoft,0,2,0.11086811936726877,"[0.5754371366451306, 0.7365409784222231, 3.86292251439293, 1.3731488990885976, 0.5309816588401526, 0.15784495763557926, 0.04786099378230936, 0.020526702838632248, 0.005608772903858413, 0.0018057669557946005]",9,0.3565870672447822
9,sawtooth,wt_uni,0,2,1.5741168308350613,"[0.5754371366451306, 0.7472671510670429, 11.491133418718256, 4.8941457752539375, 1.7767797308573026, 0.4971986999007495, 0.12538982959830502, 0.03516326337148733, 0.00883754915570752, 0.0025182631986020157]",9,0.7071411000713357
10,sawtooth,wt_sure,0,2,0.11448106689643088,"[0.5754371366451306, 0.7472671510670429, 4.091328536833956, 1.4576587968397148, 0.7860450045737076, 0.15765869501297686, 0.04333428649642311, 0.01639816070376438, 0.005855920313458024, 0.0017155384166896194]",9,0.22694942469181956
11,sawtooth,wt_zero,0,2,0.18705384890088228,"[0.5754371366451306, 4.92869810777716, 4.091328536833956, 1.4576587968397148, 0.7860450045737076, 0.3481258840385051, 0.14995610649489494, 0.0789484684936514, 0.04161317258272847, 0.024978466774562037]",9,1.6988565953163888
12,square,wqn,1,2,0.11328367285183616,"[0.2027530253824099, 0.1410896772868721, 1.2310088816783649, 0.3395012481578075, 0.10393829895973225, 0.030254499213888304, 0.015659329812099675, 0.003182036291421046, 0.0017320029903583967, 0.0005564868451017823]",9,0.6399868189322531
13,square,wt_ihard,1,2,0.04036294994491951,"[0.5619041495064288, 2.758736973007472, 3.2623174097841816, 1.348253722928242, 0.559150947359926, 0.25639514365396027, 0.09935883451753778, 0.0381812433409073, 0.014184924796331284, 0.003606311752541614]",9,0.2038438286678249
14,square,wt_isoft,1,2,0.041086817390393104,"[0.5619041495064288, 0.26538125980136923, 3.2623174097841816, 0.9107697542196791, 0.4495207851357014, 0.18222677903996068, 0.06113650205451426, 0.02274648594299817, 0.006237894280143102, 0.0022996094808473114]",9,0.3514057421869894
15,square,wt_uni,1,2,1.9131498330458017,"[0.5619041495064288, 0.4373136472247639, 12.598636160987066, 6.1268894029892635, 2.8255008144308227, 0.9458317609033517, 0.28486531068986953, 0.08310077241486082, 0.013697463704422343, 0.005944412448086552]",9,0.6068466011801028
16,square,wt_sure,1,2,0.042878223611554675,"[0.5619041495064288, 0.4373136472247639, 3.2623174097841816, 1.348253722928242, 0.5606135933116562, 0.1937541230304492, 0.07401157345696063, 0.024372025642020317, 0.005087116817070468, 0.0024996514540400723]",9,0.26798552384513086
17,square,wt_zero,1,2,0.09737093928075272,"[0.5619041495064288, 7.0924423653123405, 3.2623174097841816, 1.348253722928242, 0.5606135933116562, 0.26443754376740514, 0.11870216309516068, 0.0599557191149738, 0.02585950628378414, 0.016495767990614887]",9,1.6899051676687646
18,sawtooth,wqn,1,2,0.1254887874050366,"[0.2099413256533622, 0.1734906353642317, 0.7600692878752308, 0.6203193290380682, 0.2741165438988248, 0.07760678204401569, 0.021858367835584466, 0.007558289103004438, 0.0010044893332010823, 0.0019157017704338453]",9,0.6558255112343945
19,sawtooth,wt_ihard,1,2,0.03975594295233047,"[0.3626031017966863, 0.28092537958173713, 3.2623174097841816, 1.3277563887002113, 0.5493814315139823, 0.20953844148173187, 0.07368830198876727, 0.024683978581292003, 0.010445600580627719, 0.0014733879902140178]",9,0.2663185305116862
20,sawtooth,wt_isoft,1,2,0.05502207330002689,"[0.3626031017966863, 0.28092537958173713, 2.6574176858117213, 0.9308757421478966, 0.45616118935373395, 0.15032276990183485, 0.048342782248134375, 0.016610244704453447, 0.004098107103687732, 0.0019159520318255598]",9,0.4032904721597339
21,sawtooth,wt_uni,1,2,1.5773515383693153,"[0.3626031017966863, 0.28092537958173713, 12.899838428730133, 4.950169710969114, 1.9906764288761303, 0.616864115704777, 0.1809220021046123, 0.04797650150695734, 0.007523932271211551, 0.003780798049276433]",9,0.7253380615041161
22,sawtooth,wt_sure,1,2,0.045900094849071135,"[0.3626031017966863, 0.28092537958173713, 3.2623174097841816, 0.9939736304274982, 0.42546734853245183, 0.15342002447601336, 0.0533945581196888, 0.018388421030998206, 0.003542430997527879, 0.0018398119893770803]",9,0.4266793377778997
23,sawtooth,wt_zero,1,2,0.09629365725583813,"[0.3626031017966863, 7.0924423653123405, 3.2623174097841816, 1.348253722928242, 0.5606135933116562, 0.26443754376740514, 0.11870216309516068, 0.0599557191149738, 0.02585950628378414, 0.016495767990614887]",9,1.690554197871673
24,square,wqn,2,2,0.09445203298491187,"[0.5973808944081408, 0.9472414644505529, 0.4046680158813152, 0.15612062929730214, 0.06509868281820982, 0.017647434031615672, 0.007931752789173227, 0.002985042428330997, 0.0007805829720862404, 0.0004918384165391927]",9,0.39474884942341404
25,square,wt_ihard,2,2,0.07205833508176573,"[1.282895849620681, 1.0810837767133785, 2.414969312140627, 1.3024354252622825, 0.6576520969387787, 0.2630914267413461, 0.1267589148523838, 0.04828997645389735, 0.01932549446946493, 0.007340793549206759]",9,0.10356844131811038
26,square,wt_isoft,2,2,0.06493736132029299,"[1.282895849620681, 1.0810837767133785, 2.273183589132566, 0.8938581675922694, 0.4749769026098377, 0.1954495894450914, 0.06575209967755935, 0.02319179307324686, 0.0076983938407846385, 0.0023640465555568747]",9,0.23204809359022915
27,square,wt_uni,2,2,0.7843932610731235,"[1.282895849620681, 1.0810837767133785, 7.157909270071035, 4.527343591456667, 2.1216321166172354, 0.5871683044452347, 0.17344403166609462, 0.05030605879302708, 0.012735482515716923, 0.003185228252660177]",9,0.5721073089057278
28,square,wt_sure,2,2,0.07039805548070663,"[1.282895849620681, 1.0810837767133785, 2.414969312140627, 1.3024354252622825, 0.6610996732239018, 0.18149869471961239, 0.07782239210660463, 0.023842468100358328, 0.007621140566800035, 0.002761153812029073]",9,0.10034320218427428
29,square,wt_zero,2,2,0.1304398954753479,"[1.282895849620681, 4.3440162942285765, 2.414969312140627, 1.3024354252622825, 0.6610996732239018, 0.2663029027341971, 0.1451517447265534, 0.0686416200228119, 0.03571628395954654, 0.021979244304648593]",9,1.6991987303563327
30,sawtooth,wqn,2,2,0.1499786732268053,"[0.28606681111821874, 0.22481189639630075, 1.224954524458015, 0.17876297098722047, 0.09743791150996547, 0.045444800895168516, 0.018562721969952557, 0.007459605275642808, 0.0013857621220528273, 0.0003494030455610751]",9,0.5062541944440233
31,sawtooth,wt_ihard,2,2,0.10201253154349199,"[0.42784314343176716, 1.9155171381577552, 2.414969312140627, 1.3024354252622825, 0.6449598360204535, 0.23161937639979957, 0.10190275011743205, 0.03736193210537064, 0.014687074810458202, 0.004474270404176087]",9,0.14005705212909236
32,sawtooth,wt_isoft,2,2,0.06847421192936752,"[0.42784314343176716, 0.526009037507038, 2.414969312140627, 1.1669961832646245, 0.4691766021499647, 0.1316302545566593, 0.047676897024160045, 0.015518362935042959, 0.005113110789770149, 0.0014589068047285501]",9,0.27189668859681526
33,sawtooth,wt_uni,2,2,0.9098477152972817,"[0.42784314343176716, 0.5937515480526486, 7.702047632724261, 3.9995873869577454, 1.544167604019437, 0.38689687072830714, 0.10125429516072816, 0.028271465636207, 0.007281093936594816, 0.001906327433581411]",9,0.7054514512137364
34,sawtooth,wt_sure,2,2,0.06778065117184172,"[0.42784314343176716, 0.5937515480526486, 2.414969312140627, 1.3024354252622825, 0.5283151880404952, 0.1682466905348579, 0.05489700138525751, 0.015722409556883844, 0.005724987259494958, 0.0013103184569258817]",9,0.20218614232069287
