,artifact,denoiser,realization,scale,mse,wasserstein,num_w_scales,hurst
0,square,wqn,0,1,0.17388575051202515,"[0.077871955205433, 0.38875142646442884, 1.3139571833923172, 0.2079468190296116, 0.16185136337573997, 0.03711171308287824, 0.019668237412157487, 0.0023671046828588, 0.0007112721611658773, 0.0003987163463515395]",9,-1.8869067009960945
1,square,wt_ihard,0,1,0.08874871985728253,"[0.5757095250946676, 1.4362108411440313, 3.7456843574410437, 1.52753218425901, 0.7051773036342072, 0.37368316746087854, 0.13678394663139165, 0.061395805056384596, 0.023344494154380308, 0.007598315831004737]",9,-1.2528281347126249
2,square,wt_isoft,0,1,0.08476581143954581,"[0.5757095250946676, 0.4016588542416133, 3.3838804166618752, 1.5077714995345712, 0.5645423552471875, 0.21675045639377488, 0.06778538420555, 0.026182515369379038, 0.00905506057696604, 0.0023998023494561753]",9,-1.4555767115451628
3,square,wt_uni,0,1,0.9104792226223806,"[0.5757095250946676, 0.6364094931908406, 5.650513202232949, 4.4471164622422235, 1.3433449367675239, 0.47740974096786465, 0.14346895784181712, 0.041627701062740705, 0.014008554016519813, 0.002854111704418947]",9,-2.090228482172058
4,square,wt_sure,0,1,0.08394280614427449,"[0.5757095250946676, 0.6364094931908406, 3.7618054101686003, 1.52753218425901, 0.47463613333855215, 0.18509423652812357, 0.061042480235213276, 0.022749218279438897, 0.00903907717562627, 0.002597996032900351]",9,-1.5302653049610244
5,square,wt_zero,0,1,0.16982786112757342,"[0.5757095250946676, 4.725241799667936, 3.7618054101686003, 1.52753218425901, 0.7165442732231992, 0.3976289207321805, 0.17493505890797303, 0.09011253391868393, 0.04581468844239503, 0.027568408076718114]",9,-4.474446077277427
6,sawtooth,wqn,0,1,0.14820734478171638,"[0.38214193380386197, 0.2129904323975752, 1.2606439058000924, 0.2979221922999158, 0.0843233877214196, 0.045164181268482734, 0.01491061155698342, 0.004491798654265508, 0.0015047160193512356, 0.0004998996973296132]",9,-1.9601731356853018
7,sawtooth,wt_ihard,0,1,0.08807215562796204,"[0.41758699412858935, 0.49233914108461574, 3.7618054101686003, 1.5114134387075995, 0.6795034607802103, 0.35306620065692645, 0.11591461092563551, 0.04563795128746316, 0.01752028318705092, 0.005843049939084609]",9,-1.322801575366459
8,sawtooth,wt_isoft,0,1,0.07026214266552022,"[0.41758699412858935, 0.49233914108461574, 3.7618054101686003, 1.145966696660112, 0.39852907379383806, 0.17917113752961122, 0.055800834315308814, 0.01736124277622513, 0.005974016568231161, 0.0015889212585886432]",9,-1.645327546181949
9,sawtooth,wt_uni,0,1,0.6669745558770328,"[0.41758699412858935, 0.49233914108461574, 4.88062119277943, 4.021527241126066, 1.1404080303785196, 0.3779096393867596, 0.09893571988273366, 0.02632355615227279, 0.007823706028056302, 0.0016904838694303548]",9,-2.2260345954738625
10,sawtooth,wt_sure,0,1,0.10853771359411846,"[0.41758699412858935, 0.49233914108461574, 2.499174479270871, 1.2588018638871763, 0.4423403174440941, 0.16006486392403965, 0.04927912558976623, 0.018931081320616806, 0.0057448455237398555, 0.002084268725884867]",9,-1.7592944318041808
11,sawtooth,wt_zero,0,1,0.1706040944311238,"[0.41758699412858935, 4.725241799667936, 3.7618054101686003, 1.52753218425901, 0.7165442732231992, 0.3976289207321805, 0.17493505890797303, 0.09011253391868393, 0.04581468844239503, 0.027568408076718114]",9,-4.43688227416961
12,square,wqn,1,1,0.11666006789298941,"[0.1266764971207719, 0.3499561207328301, 0.7734824920720658, 0.27380888113090696, 0.10253633163228787, 0.032502914923498376, 0.007618845845862679, 0.0047295144344581905, 0.0013761969154668123, 0.000228461446257858]",9,-1.980695828994218
13,square,wt_ihard,1,1,0.13717043767709325,"[0.5516895952068097, 1.6726686570130724, 3.432872368862837, 1.7506757260936772, 0.8988471228870074, 0.45261502219046656, 0.15128696504952177, 0.06356784019972675, 0.02866663093325849, 0.007989079134206122]",9,-1.5172310843039727
14,square,wt_isoft,1,1,0.10879918432895427,"[0.5516895952068097, 0.40528939954556287, 2.163709526745449, 1.7506757260936763, 0.6521998754011098, 0.2640795460075245, 0.08373381279386272, 0.029851452137600924, 0.010378017814950034, 0.0031775294571762093]",9,-1.5969986029461476
15,square,wt_uni,1,1,0.9218270635943574,"[0.5516895952068097, 0.6322362642760018, 7.346033446064055, 4.514704268208493, 1.3275984011826025, 0.593171362439087, 0.2019594534876788, 0.05609125424913354, 0.015304425242673218, 0.004971583831991672]",9,-2.071273091932239
16,square,wt_sure,1,1,0.13127806106152426,"[0.5516895952068097, 0.6322362642760018, 3.470740253091458, 1.7506757260936772, 0.6279228415180214, 0.24256980109145887, 0.07886387380666393, 0.02646122223420005, 0.008782987126074497, 0.0028837816300547126]",9,-1.5495084430318584
17,square,wt_zero,1,1,0.16791516591317307,"[0.5516895952068097, 4.831647383156172, 3.470740253091458, 1.7506757260936772, 0.962811732979227, 0.5268442532651407, 0.22332019444830492, 0.10668521821878821, 0.057449550410260494, 0.03438633078578211]",9,-4.39648031467941
18,sawtooth,wqn,1,1,0.17846345124819177,"[0.19093523040351457, 0.34879806750295933, 0.8369417116688729, 0.49646807138228066, 0.2391686289716063, 0.08016457539587893, 0.01310944284201895, 0.007786298442135317, 0.0022692730401688383, 0.00169125792099509]",9,-2.013261483753222
19,sawtooth,wt_ihard,1,1,0.13305276450266548,"[0.756236156919883, 1.618105861826768, 3.3964208644883236, 1.7351932865638566, 0.8908987609483782, 0.4367913508117633, 0.12404573029332043, 0.04892348471417009, 0.01989838454303794, 0.004133780209718302]",9,-1.416787710451223
20,sawtooth,wt_isoft,1,1,0.09602322440115085,"[0.756236156919883, 0.34879808825010733, 2.2399948801149243, 1.5674144750086614, 0.6174633742373856, 0.225307291693912, 0.06301908435469351, 0.02142459218710996, 0.006876119137596403, 0.002024620302182812]",9,-1.7058906567459258
21,sawtooth,wt_uni,1,1,0.8124405258457472,"[0.756236156919883, 0.62045760799571, 6.845438322181983, 3.3001613231964044, 1.1548774648659195, 0.4076231760307053, 0.14050481532913697, 0.03547081469378544, 0.009580336206196588, 0.003060712357169179]",9,-2.2209592076170175
22,sawtooth,wt_sure,1,1,0.1248437608196041,"[0.756236156919883, 0.62045760799571, 3.470740253091458, 0.9437618004424294, 0.5672699388045163, 0.18032415261122414, 0.061716326424995915, 0.01982320200472852, 0.007436985894052467, 0.00196782677933491]",9,-1.8135638593223486
